date,B0,B1,B2,B1_minus_B0,B2_minus_B1
2025-08-15,23739.792499456,24932.52438056086,24279.47634944736,1192.7318811048572,-653.0480311134997
2025-08-16,23823.988636465107,26133.22973547005,24860.018173963093,2309.241099004943,-1273.211561506956
2025-08-17,47132.00454962558,49129.2655889854,48006.31240913777,1997.2610393598225,-1122.953179847631
2025-08-18,47140.772026886625,48652.842153833866,47651.588119838096,1512.070126947241,-1001.2540339957704
2025-08-19,47641.26367387326,48255.33839971349,47421.46961320906,614.0747258402262,-833.8687865044267
2025-08-20,61220.17604445245,52179.465576105285,51320.66046294125,-9040.710468347163,-858.8051131640386
2025-08-21,47092.11418412315,49337.996386667684,47449.63536797123,2245.8822025445334,-1888.361018696458
2025-08-22,24519.180352415464,24791.966344250304,24273.76162562014,272.7859918348404,-518.2047186301643
2025-08-23,24103.965503149124,23392.655607204262,24385.366035427407,-711.3098959448616,992.7104282231448
2025-08-24,48564.65021043155,47250.79461543182,46566.75985952186,-1313.8555949997317,-684.034755909961
2025-08-25,48444.1829935967,60757.18793603767,55086.42179169059,12313.004942440966,-5670.766144347079
2025-08-26,49334.414593984104,48161.354370874054,48498.93473168607,-1173.0602231100493,337.5803608120186
2025-08-27,48864.678210271355,50409.45184290822,50128.932329533476,1544.7736326368686,-280.5195133747475
2025-08-28,49254.99058078972,61281.28092249952,51232.42365518863,12026.290341709799,-10048.857267310894
2025-08-29,25121.441228132313,26364.917338896415,25816.26392991183,1243.4761107641025,-548.6534089845845
2025-08-30,24563.289396910593,24434.5053518101,24137.145710336892,-128.78404510049222,-297.3596414732092
2025-08-31,50000.99147292499,47344.419946281676,48016.01672767603,-2656.571526643311,671.5967813943571
2025-09-01,49552.78091998842,51756.98639225456,48959.86419750259,2204.2054722661414,-2797.1221947519734
2025-09-02,46744.684481361764,43513.21485094395,45301.25466912281,-3231.469630417814,1788.0398181788623
2025-09-03,47677.991641104556,46325.04603213775,45505.89223182386,-1352.9456089668092,-819.1538003138849
2025-09-04,39910.28409149731,39452.09680680858,38954.74753643787,-458.1872846887345,-497.34927037070884
2025-09-05,20406.191993798115,20480.244300465296,19940.698488811944,74.05230666718126,-539.5458116533518
2025-09-06,17404.739042835,17400.95660254035,17186.900603122696,-3.7824402946498594,-214.05599941765468
2025-09-07,39334.90469463423,37269.41638796289,39315.87678920933,-2065.4883066713373,2046.4604012464406
2025-09-08,77253.09562366517,62246.00070342303,49863.387031154314,-15007.09492024214,-12382.613672268715
2025-09-09,43811.39388411008,40060.23390062731,41496.37264326312,-3751.159983482772,1436.1387426358124
2025-09-10,43978.175059704576,46398.53269582028,45430.64822786881,2420.357636115703,-967.8844679514659
2025-09-11,42349.74063209673,45064.79997708166,42235.67391454266,2715.059344984933,-2829.1260625389987
2025-09-12,19487.644686649022,19623.44947092328,19599.08934980779,135.80478427425624,-24.360121115489164
2025-09-13,18092.572923952997,18218.37618625188,18287.56642921181,125.80326229888306,69.19024295992858
2025-09-14,42617.67217899113,48342.145601541146,45237.11600199449,5724.473422550014,-3105.0295995466586
2025-09-15,41561.77494346794,39131.28547205903,39408.1185017553,-2430.4894714089096,276.83302969626675
2025-09-16,43302.27874143261,47622.58564532333,44824.47251090899,4320.30690389072,-2798.113134414336
2025-09-17,41846.89143087543,45098.515300785555,43262.84030204012,3251.623869910123,-1835.6749987454386
2025-09-18,41460.90250912456,43197.04987539183,43190.05812926378,1736.1473662672724,-6.991746128049272
2025-09-19,19357.256656693637,19724.230132517718,19506.69057893458,366.9734758240811,-217.5395535831376
2025-09-20,18027.881596873445,18426.70309057095,18229.345185014838,398.8214936975055,-197.3579055561131
2025-09-21,43611.421830645006,43985.47424077136,42772.206354265705,374.0524101263509,-1213.2678865056514
2025-09-22,42979.48809145455,46851.19511077014,44337.362401384555,3871.7070193155887,-2513.832709385584
2025-09-23,45645.23857765893,46261.52157929214,44494.9374679477,616.2830016332082,-1766.5841113444403
2025-09-24,43890.15166594637,52759.6764513781,43202.096812500175,8869.524785431735,-9557.579638877927
