date,horizon,max_cumulative_underestimate_kWh,total_cumulative_underestimate_kWh,slots,start_slot
2025-07-15,1h,1464.7106,21384.6233,6,69
2025-07-15,4h,2928.6477333333332,60133.35888333332,24,69
2025-07-16,1h,775.5786666666663,10359.714649999998,6,89
2025-07-16,4h,691.1121333333327,13836.400733333328,24,88
2025-07-17,1h,1206.9754666666665,18715.540099999995,6,51
2025-07-17,4h,1926.7382333333335,38215.45031666666,24,39
2025-07-18,1h,1295.6257666666672,30231.74146666666,6,63
2025-07-18,4h,3444.7446833333333,106925.19606666663,24,53
2025-07-19,1h,327.7202000000003,3118.7003333333346,6,96
2025-07-19,4h,270.94130000000007,2246.9580333333306,24,96
2025-07-20,1h,666.4226500000005,14354.524450000004,6,68
2025-07-20,4h,1463.0199333333333,30525.340116666677,24,66
2025-07-21,1h,961.3475000000004,12144.601516666673,6,72
2025-07-21,4h,1077.991583333334,19703.113716666667,24,72
2025-07-22,1h,732.1537,13001.974066666666,6,61
2025-07-22,4h,347.3249166666672,5821.278383333338,24,18
2025-07-23,1h,871.0580166666667,16195.033983333338,6,67
2025-07-23,4h,894.6169166666668,20814.52266666669,24,32
2025-07-24,1h,1485.9885166666666,15561.59293333333,6,74
2025-07-24,4h,1996.2205666666669,40302.551666666666,24,73
2025-07-25,1h,644.6766499999999,12063.631500000003,6,59
2025-07-25,4h,1507.3399333333334,32134.88471666668,24,42
2025-07-26,1h,900.8462333333335,13171.752633333335,6,65
2025-07-26,4h,1658.8532333333335,25424.69216666667,24,65
2025-07-27,1h,702.5642000000001,15246.302666666661,6,50
2025-07-27,4h,1611.3083666666664,37860.21511666665,24,32
2025-07-28,1h,1428.3689333333334,31266.799366666666,6,70
2025-07-28,4h,3546.709433333334,108625.34491666665,24,56
2025-07-29,1h,799.3013666666664,7449.448333333333,6,62
2025-07-29,4h,303.3040833333331,2181.5878666666604,24,48
2025-07-30,1h,654.6509999999997,9480.386766666665,6,90
2025-07-30,4h,788.4484666666665,18238.080200000004,24,31
2025-07-31,1h,1182.4578833333333,17258.151449999994,6,81
2025-07-31,4h,2378.746016666667,49524.724266666664,24,70
2025-08-01,1h,227.51725000000022,2384.3181499999955,6,26
2025-08-01,4h,330.86074999999965,2568.87261666666,24,8
